species,decimallatitude,decimallongitude,wc2.1_30s_bio_12,wc2.1_30s_elev,distance_to_water,ndvi
Ardea alba,20.643581,85.68961,1529.0,114.0,15.057909,0.6751276600730782
Ardea alba,20.490686,85.84703,1575.0,28.0,0.925,0.4015312854729008
Ardea alba,19.19359,83.30171,1360.0,391.0,46.453053,0.6974012276375917
Ardea alba,20.922194,86.24375,1574.0,21.0,3.8138728,0.4517370343471622
Ardea alba,19.301342,84.944916,1204.0,16.0,7.224481,0.5422596034068285
Ardea alba,20.906815,85.568275,1394.0,49.0,11.291064,0.552516069498273
Ardea alba,21.288902,86.6894,1625.0,18.0,9.296135,0.5595432425938791
Ardea alba,19.14018,82.318214,1511.0,562.0,43.9448,0.4457915634070471
Ardea alba,19.79796,85.67662,1365.0,10.0,1.85,0.6021856251693585
Ardea alba,20.962515,86.38278,1603.0,18.0,9.832885,0.5056478561767181
Ardea alba,18.828192,84.05696,1316.0,76.0,49.778408,0.5187789641260833
Ardea alba,19.847132,85.02434,1402.0,111.0,4.9812775,0.7015627129644937
Ardea alba,20.359957,85.76741,1548.0,35.0,5.6265554,0.5699187005341675
Ardea alba,18.76878,82.88101,1596.0,919.0,1.3081475,0.3596360031937481
Ardea alba,19.881643,86.09988,1401.0,11.0,5.8502135,0.6444572885058858
Ardea alba,19.810719,85.77248,1369.0,8.0,2.068363,0.5521261379817064
Ardea alba,20.893736,85.68384,1435.0,43.0,5.9228897,0.5236635522365521
Ardea alba,20.609974,85.59831,1492.0,108.0,13.905799,0.6588230397154047
Ardea alba,20.007524,85.798065,1483.0,9.0,5.55,0.5033924820230896
Ardea alba,20.106096,85.64238,1493.0,17.0,2.9251068,0.4547159793152013
Ardea alba,20.356895,86.564095,1513.0,4.0,0.0,0.5169493728249558
Ardea alba,21.355497,83.91971,1583.0,146.0,0.0,0.4486066231854667
Ardea alba,21.753948,87.248726,1551.0,12.0,3.8138728,0.5780613366225181
Ardea alba,20.542305,85.58186,1487.0,73.0,10.175,0.5383156298017664
Ardea alba,20.357018,84.806435,1312.0,145.0,0.925,0.5844491554868998
Ardea alba,20.861444,84.71122,1378.0,257.0,24.992125,0.5926909299604877
Ardea alba,20.072338,86.275826,1427.0,8.0,1.3081475,0.5267883710581313
Ardea alba,20.20977,86.21927,1540.0,10.0,7.957151,0.5497590664829904
Ardea alba,20.544538,84.83209,1298.0,75.0,2.068363,0.5591643545864032
Ardea alba,21.131582,85.81154,1529.0,352.0,15.395068,0.6196029071593304
Ardea alba,19.40288,84.63757,1343.0,51.0,20.868952,0.5134207503831658
